Author,Title,Journal,Publishing Date,Publishing Year,Accept/Reject,why,note,accept/reject_2,why_2,Done,why_3,comments
"Alberton, B; Almeida, J; Helm, R; Torres, RD; Menzel, A; Morellato, LPC",Using phenological cameras to track the green up in a cerrado savanna and its on-the-ground validation,ECOLOGICAL INFORMATICS,JAN,2014,r,no phenology change measured,,,,,,
"Davies, TJ; Wolkovich, EM; Kraft, NJB; Salamin, N; Allen, JM; Ault, TR; Betancourt, JL; Bolmgren, K; Cleland, EE; Cook, BI; Crimmins, TM; Mazer, SJ; McCabe, GJ; Pau, S; Regetz, J; Schwartz, MD; Travers, SE",Phylogenetic conservatism in plant phenology,JOURNAL OF ECOLOGY,NOV,2013,r,no phenology change measured,,,,,,
"Mendivelso, HA; Camarero, JJ; Obregon, OR; Gutierrez, E; Toledo, M",Differential Growth Responses to Water Balance of Coexisting Deciduous Tree Species Are Linked to Wood Density in a Bolivian Tropical Dry Forest,PLOS ONE,7-Oct,2013,r,no phenology change measured,,,,,,
"Prendeville, HR; Barnard-Kubow, K; Dai, C; Barringer, BC; Galloway, LF",Clinal variation for only some phenological traits across a species range,OECOLOGIA,OCT,2013,r,no phenology change measured,,,,,,
"Rugiero, L; Milana, G; Petrozzi, F; Capula, M; Luiselli, L",Climate-change-related shifts in annual phenology of a temperate snake during the last 20 years,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,AUG,2013,r,no trait measured,,,,,,
"Ishioka, R; Muller, O; Hiura, T; Kudo, G",Responses of leafing phenology and photosynthesis to soil warming in forest-floor plants,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,AUG,2013,a,,,a,,Y,,
"Kamruzzaman, M; Sharma, S; Kamara, M; Hagihara, A",Phenological traits of the mangrove Rhizophora stylosa Griff. at the northern limit of its biogeographical distribution,WETLANDS ECOLOGY AND MANAGEMENT,AUG,2013,r,no trait measured,,,,,,
"McKown, AD; Guy, RD; Azam, MS; Drewes, EC; Quamme, LK",Seasonality and phenology alter functional leaf traits,OECOLOGIA,JUL,2013,r,no phenology change measured,,,,,,
"Schindler, DE; Armstrong, JB; Bentley, KT; Jankowski, K; Lisi, PJ; Payne, LX",Riding the crimson tide: mobile terrestrial consumers track phenological variation in spawning of an anadromous fish,BIOLOGY LETTERS,23-Jun,2013,r,no trait measured,,,,,,
"Xia, JY; Wan, SQ",Independent effects of warming and nitrogen addition on plant phenology in the Inner Mongolian steppe,ANNALS OF BOTANY,JUN,2013,a,,traits not completely clear,a,,Y,,
"Telemeco, RS; Abbott, KC; Janzen, FJ",Modeling the Effects of Climate Change-Induced Shifts in Reproductive Phenology on Temperature-Dependent Traits,AMERICAN NATURALIST,MAY,2013,r,model,,,,,,
"Bolmgren, K; Vanhoenacker, D; Miller-Rushing, AJ","One man, 73 years, and 25 species. Evaluating phenological responses using a lifelong study of first flowering dates",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,MAY,2013,a,,early/late,a,,N,No trait data or mention,
"Scheepens, JF; Stocklin, J",Flowering phenology and reproductive fitness along a mountain slope: maladaptive responses to transplantation to a warmer climate in Campanula thyrsoides,OECOLOGIA,MAR,2013,a,,#flowers per plant,r,1 species (Campanula thyrsoides),,,
"Simonato, M; Battisti, A; Kerdelhue, C; Burban, C; Lopez-Vaamonde, C; Pivotto, I; Salvato, P; Negrisolo, E",Host and Phenology Shifts in the Evolution of the Social Moth Genus Thaumetopoea,PLOS ONE,27-Feb,2013,r,no phenology change measured,,,,,,
"Dorji, T; Totland, O; Moe, SR; Hopping, KA; Pan, JB; Klein, JA",Plant functional traits mediate reproductive phenology and success in response to experimental warming and snow addition in Tibet,GLOBAL CHANGE BIOLOGY,FEB,2013,a,,,a,,Y,,
"Chorbadjian, RA; Francino, AE",Phenological variation in leaf chemistry of Nothofagus macrocarpa in relation to Ormiscodes sp growth and survival,BOSQUE,,2013,a,,weird,a,,N,No phenological traking data (artificially forced delayed phenology instead of looking for a response to and environmental variable),
"Gutjahr, S; Vaksmann, M; Dingkuhn, M; Thera, K; Trouche, G; Braconnier, S; Luquet, D","Grain, sugar and biomass accumulation in tropical sorghums. I. Trade-offs and effects of phenological plasticity",FUNCTIONAL PLANT BIOLOGY,,2013,r,no phenology change measured,,,,,,
"Gutjahr, S; Clement-Vidal, A; Soutiras, A; Sonderegger, N; Braconnier, S; Dingkuhn, M; Luquet, D","Grain, sugar and biomass accumulation in photoperiod-sensitive sorghums. II. Biochemical processes at internode level and interaction with phenology",FUNCTIONAL PLANT BIOLOGY,,2013,r,no trait measured,,,,,,
"Wang'ondu, VW; Kairo, JG; Kinyamario, JI; Mwaura, FB; Bosire, JO; Dahdouh-Guebas, F; Koedam, N",Vegetative and reproductive phenological traits of Rhizophora mucronata Lamk. and Sonneratia alba Sm.,FLORA,,2013,r,no trait measured,,,,,,
"del Cacho, M; Penuelas, J; Lloret, F",Reproductive output in Mediterranean shrubs under climate change experimentally induced by drought and warming,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,,2013,r,no phenology change measured,,,,,,
"Dirlewanger, E; Quero-Garcia, J; Le Dantec, L; Lambert, P; Ruiz, D; Dondini, L; Illa, E; Quilot-Turion, B; Audergon, JM; Tartarini, S; Letourmy, P; Arus, P","Comparison of the genetic determinism of two key phenological traits, flowering and maturity dates, in three Prunus species: peach, apricot and sweet cherry",HEREDITY,NOV,2012,r,no trait measured,,,,,,
"Wang, L; Dronova, I; Gong, P; Yang, WB; Li, YR; Liu, Q",A new time series vegetation-water index of phenological-hydrological trait across species and functional types for Poyang Lake wetland ecosystem,REMOTE SENSING OF ENVIRONMENT,OCT,2012,r,no phenology change measured,,,,,,
"Hill, JP; Edwards, W; Franks, PJ",Size is not everything for desiccation-sensitive seeds,JOURNAL OF ECOLOGY,SEP,2012,r,no phenology change measured,,,,,,
"Ramos, R; Granadeiro, JP; Nevoux, M; Mougin, JL; Dias, MP; Catry, P",Combined Spatio-Temporal Impacts of Climate and Longline Fisheries on the Survival of a Trans-Equatorial Marine Migrant,PLOS ONE,16-Jul,2012,r,no phenology change measured,,,,,,
"van de Pol, M; Osmond, HL; Cockburn, A",Fluctuations in population composition dampen the impact of phenotypic plasticity on trait dynamics in superb fairy-wrens,JOURNAL OF ANIMAL ECOLOGY,MAR,2012,a,,,r,1 species (Malurus cyaneus),,,
"Craine, JM; Wolkovich, EM; Towne, EG; Kembel, SW",Flowering phenology as a functional trait in a tallgrass prairie,NEW PHYTOLOGIST,FEB,2012,r,no phenology change measured,,,,,,
"Szilvia, K; Fehervari, P; Krisztina, N; Andrea, H; Tibor, C","Changes in migration phenology and biometrical traits of Reed, Marsh and Sedge Warblers",CENTRAL EUROPEAN JOURNAL OF BIOLOGY,FEB,2012,a,,,a,,Y,,
"Boutin, C; Aya, KL; Carpenter, D; Thomas, PJ; Rowland, O",Phytotoxicity testing for herbicide regulation: Shortcomings in relation to biodiversity and ecosystem services in agrarian systems,SCIENCE OF THE TOTAL ENVIRONMENT,15-Jan,2012,r,no phenology change measured,,,,,,
"Audergon, JM; Clauzel, G; Blanc, A; Roch, G; Lambert, P; Ruiz, D; Campoy, JA; Salazar, JA; Martinez-Gomez, P; Egea, J; Bureau, S; Gouble, B; Boge, M; Reling, P; Renard, CMGC; Dondini, L; Tartarini, S",Inheritance of Phenological Traits in Apricot Progenies,XV INTERNATIONAL SYMPOSIUM ON APRICOT BREEDING AND CULTURE,,2012,r,no phenology change measured,,,,,,
"Uptmoor, R; Li, J; Schrag, T; Stutzel, H",Prediction of flowering time in Brassica oleracea using a quantitative trait loci-based phenology model,PLANT BIOLOGY,JAN,2012,r,model,,,,,,
"Tapia, PD; Barbara, I; Barreiro, R","Iberian intertidal turf assemblages dominated by Erythroglossum lusitanicum (Ceramiales, Rhodophyta): structure, temporal dynamics, and phenology",BOTANICA MARINA,DEC,2011,r,no phenology change measured,,,,,,
"Pau, S; Wolkovich, EM; Cook, BI; Davies, TJ; Kraft, NJB; Bolmgren, K; Betancourt, JL; Cleland, EE","Predicting phenology by integrating ecology, evolution and climate science",GLOBAL CHANGE BIOLOGY,DEC,2011,r,no data,,,,,,
"Nord, EA; Shea, K; Lynch, JP",Optimizing reproductive phenology in a two-resource world: a dynamic allocation model of plant growth predicts later reproduction in phosphorus-limited plants,ANNALS OF BOTANY,AUG,2011,r,model,,,,,,
"Moussus, JP; Clavel, J; Jiguet, F; Julliard, R",Which are the phenologically flexible species? A case study with common passerine birds,OIKOS,JUL,2011,a,,,a,,Y,,
"Moyes, K; Nussey, DH; Clements, MN; Guinness, FE; Morris, A; Morris, S; Pemberton, JM; Kruuk, LEB; Clutton-Brock, TH",Advancing breeding phenology in response to environmental change in a wild red deer population,GLOBAL CHANGE BIOLOGY,JUL,2011,r,no trait measured,,,,,,
"Diamond, SE; Frame, AM; Martin, RA; Buckley, LB",Species' traits predict phenological responses to climate change in butterflies,ECOLOGY,MAY,2011,a,,,a,,Y,,
"Monteith, KL; Bleich, VC; Stephenson, TR; Pierce, BM; Conner, MM; Klaver, RW; Bowyer, RT","Timing of seasonal migration in mule deer: effects of climate, plant phenology, and life-history characteristics",ECOSPHERE,APR,2011,r,,weird,,,,,
"Clements, MN; Clutton-Brock, TH; Guinness, FE; Pemberton, JM; Kruuk, LEB",VARIANCES AND COVARIANCES OF PHENOLOGICAL TRAITS IN A WILD MAMMAL POPULATION,EVOLUTION,MAR,2011,r,no trait measured,,,,,,
"James, AT; Lawn, RJ",Application of physiological understanding in soybean improvement. II. Broadening phenological adaptation across regions and sowing dates,CROP & PASTURE SCIENCE,,2011,r,no phenology change measured,,,,,,
"Wilczek, AM; Burghardt, LT; Cobb, AR; Cooper, MD; Welch, SM; Schmitt, J",Genetic and physiological bases for phenological responses to current and predicted climates,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,12-Oct,2010,r,no phenology change measured,,,,,,
"Goodenough, AE; Hart, AG; Stafford, R",Is adjustment of breeding phenology keeping pace with the need for change? Linking observed response in woodland birds to changes in temperature and selection pressure,CLIMATIC CHANGE,OCT,2010,a,,early/late,a,,Y,,
"Andrew, ME; Ustin, SL",Effects of microtopography and hydrology on phenology of an invasive herb,ECOGRAPHY,OCT,2009,r,no trait measured,,,,,,
"Galloway, LF; Burgess, KS",Manipulation of flowering time: phenological integration and maternal effects,ECOLOGY,AUG,2009,r,no trait or phenological change measured,,,,,,
"Xu, ZF; Hu, TX; Wang, KY; Zhang, YB; Xian, JR","Short-term responses of phenology, shoot growth and leaf traits of four alpine shrubs in a timberline ecotone to simulated global warming, Eastern Tibetan Plateau, China",PLANT SPECIES BIOLOGY,APR,2009,a,,,a,,Y,,
"Bonenfant, C; Gaillard, JM; Coulson, T; Festa-Bianchet, M; Loison, A; Garel, M; Loe, LE; Blanchard, P; Pettorelli, N; Owen-Smith, N; Du Toit, J; Duncan, P",Empirical Evidence of Density-Dependence in Populations of Large Herbivores,"ADVANCES IN ECOLOGICAL RESEARCH, VOL 41",,2009,r,no measured phenology,,,,,,
"Crepinsek, Z; Solar, M; Stampar, F; Solar, A",Shifts in walnut (Juglans regia L.) phenology due to increasing temperatures in Slovenia,JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,JAN,2009,r,no trait measured,,,,,,
"Tryjanowski, P; Sparks, TH",The relationship between phenological traits and brood size of the white stork Ciconia ciconia in western Poland,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,MAR-APR,2008,r,no trait measured,,,,,,
"Inouye, DW","Effects of climate change on phenology, frost damage, and floral abundance of montane wildflowers",ECOLOGY,FEB,2008,r,no phenology change measured,,,,,,
"Burgess, KS; Etterson, JR; Galloway, LF",Artificial selection shifts flowering phenology and other correlated traits in an autotetraploid herb,HEREDITY,DEC,2007,a,,weird,r,1 species (Campanulastrum americanum),,,
"Sims, SR","Diapause dynamics, seasonal phenology, and pupal color dimorphism of Papilio polyxenes in southern Florida, USA",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,JUN,2007,r,no phenology change measured,,,,,,
"Limin, A; Corey, A; Hayes, P; Fowler, DB","Low-temperature acclimation of barley cultivars used as parents in mapping populations: response to photoperiod, vernalization and phenological development",PLANTA,JUN,2007,r,no trait measured,,,,,,
"Hassall, C; Thompson, DJ; French, GC; Harvey, IF",Historical changes in the phenology of British Odonata are related to climate,GLOBAL CHANGE BIOLOGY,MAY,2007,r,no trait measured,,,,,,
"Sun, SG; Lu, Y; Huang, SQ",Floral phenology and sex expression in functionally monoecious Rhoiptelea chiliantha (Rhoipteleaceae),BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,OCT,2006,r,no phenology change measured,,,,,,
"Adrian, R; Wilhelm, S; Gerten, D",Life-history traits of lake plankton species may govern their phenological response to climate warming,GLOBAL CHANGE BIOLOGY,APR,2006,a,,,a,,Y,,Only entered as 1 didnottry line
"Rebetzke, GJ; Lawn, RJ",Adaptive responses of wild mungbean (Vigna radiata ssp sublobata) to photo-thermal environment. I. Phenology,AUSTRALIAN JOURNAL OF AGRICULTURAL RESEARCH,,2006,a,,"weird, photoperiod",r,1 species (Vigna radiata ssp sublobata),,,
"Yin, XY; Struik, PC; Tang, JJ; Qi, CH; Liu, TJ",Model analysis of flowering phenology in recombinant inbred lines of barley,JOURNAL OF EXPERIMENTAL BOTANY,MAR,2005,r,model,,,,,,
"Yin, XY; Struik, PC; van Eeuwijk, FA; Stam, P; Tang, JJ",QTL analysis and QTL-based prediction of flowering phenology in recombinant inbred lines of barley,JOURNAL OF EXPERIMENTAL BOTANY,MAR,2005,r,model,,,,,,
"Stenstrom, A; Jonsdottir, IS",Effects of simulated climate change on phenology and life history traits in Carex bigelowii,NORDIC JOURNAL OF BOTANY,,2004,a,,,r,1 species (Carex bigelowii),,,
"Lesser, MR; Parker, WH",Genetic variation in Picea glauca for growth and phenological traits from provenance tests in Ontario,SILVAE GENETICA,,2004,r,no phenology change measured,,,,,,
"Aguirre, JR; Pena-Valdivia, CB; Bayuelo-Jimenez, JS","Morphology, phenology and agronomic traits of two wild Mexican common bean (Phaseolus vulgaris L.) populations under cultivation",SOUTH AFRICAN JOURNAL OF BOTANY,OCT,2003,r,no phenology change measured,,,,,,
"Sanz, JJ",Large-scale effect of climate change on breeding parameters of pied flycatchers in Western Europe,ECOGRAPHY,FEB,2003,a,,traits change with pehnology,r,1 species (Ficedula hypoleuca),,,
"Stenseth, NC; Mysterud, A","Climate, changing phenology, and other life history and traits: Nonlinearity and match-mismatch to the environment",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,15-Oct,2002,r,no data,,,,,,
"Martinkova, J; Smilauer, P; Mihulka, S",Phenological pattern of grassland species: relation to the ecological and morphological traits,FLORA,,2002,r,no phenology change measured,,,,,,
"Nilsson, JE",Seasonal changes in phenological traits and cold hardiness of F1-populations from plus-trees of Pinus sylvestris and Pinus contorta of various geographical origins,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,,2001,r,no phenology change measured,,,,,,
"Yao, Q; Mehlenbacher, SA","Heritability, variance components and correlation of morphological and phenological traits in hazelnut",PLANT BREEDING,OCT,2000,r,no phenology change measured,,,,,,
"Suzuki, S; Kudo, G","Short-term effects of simulated environmental change on phenology, leaf traits, and shoot growth of alpine plants on a temperate mountain, northern Japan",GLOBAL CHANGE BIOLOGY,DEC,1997,a,,,a,,Y,,
"Polley, HW",Implications of rising atmospheric carbon dioxide concentration for rangelands,JOURNAL OF RANGE MANAGEMENT,NOV,1997,r,no phenology change measured,,,,,,
"Yin, XY; Kropff, MJ; Aggarwal, PK; Peng, SB; Horie, T",Optimal preflowering phenology of irrigated rice for high yield potential in three Asian environments: A simulation study,FIELD CROPS RESEARCH,MAR,1997,r,no phenology change measured,,,,,,
"Kudoh, H; Ishiguri, Y; Kawano, S",Phenotypic plasticity in age and size at maturity and its effects on the integrated phenotypic expressions of life history traits of Cardamine flexuosa (Cruciferae),JOURNAL OF EVOLUTIONARY BIOLOGY,SEP,1996,a,,,r,1 species (Cardamine flexuosa),,,
"ACOSTAGALLEGOS, JA; WHITE, JW",PHENOLOGICAL PLASTICITY AS AN ADAPTATION BY COMMON BEAN TO RAIN-FED ENVIRONMENTS,CROP SCIENCE,JAN-FEB,1995,r,no trait measured,,,,,,
"Choi, RT; Beard, KH; Leffler, AJ; Kelsey, KC; Schmutz, JA; Welker, JM",Phenological mismatch between season advancement and migration timing alters Arctic plant traits,JOURNAL OF ECOLOGY,SEP,2019,r,1 species (Carexsubspathacea),,,,,,
"Souza, ML; Lovato, MB; Fagundes, M; Valladares, F; Lemos, JP","Soil fertility and rainfall during specific phenological phases affect seed trait variation in a widely distributed Neotropical tree, Copaifera langsdorffii",AMERICAN JOURNAL OF BOTANY,AUG,2019,r,1 species (Copaifera langsdorffii),,,,,,
"Tillotson, MD; Barnett, HK; Bhuthimethee, M; Koehler, ME; Quinn, TP",Artificial selection on reproductive timing in hatchery salmon drives a phenological shift and potential maladaptation to climate change,EVOLUTIONARY APPLICATIONS,AUG,2019,r,1 species (salmon),,,,,,
"Garcia, D; Smith, C; Machin, E; Loureiro, M; Reichard, M",Changing patterns of growth in a changing planet: How a shift in phenology affects critical life-history traits in annual fishes,FRESHWATER BIOLOGY,,2019,a,,,a,,N,no phenological tracking,
"Van Dam, MH; Rominger, AJ; Brewer, MS",Environmental niche adaptation revealed through fine scale phenological niche modelling,JOURNAL OF BIOGEOGRAPHY,,2019,a,,,a,,N,no phenological tracking,
"Panchen, ZA; Doubt, J; Kharouba, HM; Johnston, MO",Patterns and biases in an Arctic herbarium specimen collection: Implications for phenological research,APPLICATIONS IN PLANT SCIENCES,MAR,2019,a,,,a,,N,no phenological tracking,
"Sharma, S; Upadhyaya, HD","Photoperiod Response of Annual Wild Cicer Species and Cultivated Chickpea on Phenology, Growth, and Yield Traits",CROP SCIENCE,MAR-APR,2019,a,,,a,,Y,,
"Linton, DM; Macdonald, DW",Spring weather conditions influence breeding phenology and reproductive success in sympatric bat populations,JOURNAL OF ANIMAL ECOLOGY,JUL,2018,a,,probably one species - check,a,,N,no trait data,
"Kleynhans, E; Barton, MG; Conlong, DE; Terblanche, JS",Population dynamics of Eldana saccharina Walker (Lepidoptera: Pyralidae): application of a biophysical model to understand phenological variation in an agricultural pest,BULLETIN OF ENTOMOLOGICAL RESEARCH,JUN,2018,r,1 species (Eldana saccharina),,,,,,
"Zhang, JZ; Gou, XH; Pederson, N; Zhang, F; Niu, HG; Zhao, SD; Wang, F",Cambial phenology in Juniperus przewalskii along different altitudinal gradients in a cold and arid region,TREE PHYSIOLOGY,JUN,2018,r,1 species (Juniperus przewalskii),,,,,,
"Yost, JM; Sweeney, PW; Gilbert, E; Nelson, G; Guralnick, R; Gallinat, AS; Ellwood, ER; Rossington, N; Willis, CG; Blum, SD; Walls, RL; Haston, EM; Denslow, MW; Zohner, CM; Morris, AB; Stucky, BJ; Carter, JR; Baxter, DG; Bolmgren, K; Denny, EG; Dean, E; Pearson, KD; Davis, CC; Mishler, BD; Soltis, PS; Mazer, SJ",Digitization protocol for scoring reproductive phenology from herbarium specimens of seed plants,APPLICATIONS IN PLANT SCIENCES,FEB,2018,a,,,a,,N,no data,
"Bala, P; Sikder, S",Effect of Heat Stress on Phenological Traits of Wheat Genotype,JOURNAL OF AGRICULTURAL SCIENCES,JAN,2018,r,1 species (Triticumaestivum),,,,,,
"Cui, SJ; Meng, FD; Ji, SN; Qi, W; Li, BW; Liu, PP; Renzeng, WM; Lv, WW; Jiang, LL; Zhang, LR; Li, XE; Li, YM; Zhang, ZH; Luo, CY; Tsechoe, D; Wang, SP",Responses of phenology and seed production of annual Koenigia islandica to warming in a desertified alpine meadow,AGRICULTURAL AND FOREST METEOROLOGY,15-Dec,2017,r,1 species (Koenigia islandica),,,,,,
"Doi, H; Gordo, O; Mori, T; Kubo, MT",A macroecological perspective for phenological research under climate change,ECOLOGICAL RESEARCH,SEP,2017,r,no data,,,,,,
"Dingkuhn, M; Pasco, R; Pasuquin, JM; Damo, J; Soulie, JC; Raboin, LM; Dusserre, J; Sow, A; Manneh, B; Shrestha, S; Balde, A; Kretzschmar, T",Crop-model assisted phenomics and genome-wide association study for climate adaptation of indica rice. 1. Phenology,JOURNAL OF EXPERIMENTAL BOTANY,10-Jul,2017,r,no data,,,,,,
"Hassall, C; Owen, J; Gilbert, F",Phenological shifts in hoverflies (Diptera: Syrphidae): linking measurement and mechanism,ECOGRAPHY,JUL,2017,r,1 species (hoverflies),,,,,,
"Richardson, BA; Chaney, L; Shaw, NL; Still, SM",Will phenotypic plasticity affecting flowering phenology keep pace with climate change?,GLOBAL CHANGE BIOLOGY,JUN,2017,r,1 species (Artemisia tridentata),,,,,,
"Joshi, MA; Faridullah, S; Kumar, A","Effect of heat stress on crop phenology, yield and seed quality attributes of wheat (Triticumaestivum L.)",JOURNAL OF AGROMETEOROLOGY,DEC,2016,r,1 species (Triticumaestivum),,,,,,
"Camargo, AV; Mott, R; Gardner, KA; Mackay, IJ; Corke, F; Doonan, JH; Kim, JT; Bentley, AR",Determining Phenological Patterns Associated with the Onset of Senescence in a Wheat MAGIC Mapping Population,FRONTIERS IN PLANT SCIENCE,24-Oct,2016,r,1 species (Triticum aestivum),,,,,,
"McDermott, ME; DeGroote, LW","Long-term climate impacts on breeding bird phenology in Pennsylvania, USA",GLOBAL CHANGE BIOLOGY,OCT,2016,a,,,a,,Y,,
"Chen, C; Berger, J; Fletcher, A; Lawes, R; Robertson, M",Genotype x environment interactions for phenological adaptation in narrow-leafed lupin: A simulation study with a parameter optimized model,FIELD CROPS RESEARCH,OCT,2016,r,no data,,,,,,
"Edwards, CE; Ewers, BE; Weinig, C",Genotypic variation in biomass allocation in response to field drought has a greater affect on yield than gas exchange or phenology,BMC PLANT BIOLOGY,24-Aug,2016,r,1 species (Brassica rapa),,,,,,
"Braga, ND; Vitoria, AP; Souza, GM; Barros, CF; Freitas, L",Weak relationships between leaf phenology and isohydric and anisohydric behavior in lowland wet tropical forest trees,BIOTROPICA,JUL,2016,a,,,a,,N,no phenological tracking,
"Tovignan, TK; Luquet, D; Fonceka, D; Ndoye, I; Trouche, G; Cisse, N",Assessment of the variability of Senegalese landraces for phenology and sugar yield components to broaden the genetic pool of multi-purpose sorghum,PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION,JUN,2016,r,1 species (Senegalese landraces),,,,,,
"Wang, C; Tang, YH; Chen, J",Plant phenological synchrony increases under rapid within-spring warming,SCIENTIFIC REPORTS,5-May,2016,a,,,a,,N,no trait data,
"Rutschmann, A; Miles, DB; Le Galliard, JF; Richard, M; Moulherat, S; Sinervo, B; Clobert, J",Climate and habitat interact to shape the thermal reaction norms of breeding phenology across lizard populations,JOURNAL OF ANIMAL ECOLOGY,MAR,2016,r,1 species (Zootoca vivipara),,,,,,
"Hart, R; Georgian, EM; Salick, J",Fast and Cheap in the Fall: Phylogenetic determinants of late flowering phenologies in Himalayan Rhododendron,AMERICAN JOURNAL OF BOTANY,FEB,2016,r,no phenology change measured,,,,,,
"Fukui, S; Ishigooka, Y; Kuwagata, T; Hasegawa, T",A methodology for estimating phenological parameters of rice cultivars utilizing data from common variety trials,JOURNAL OF AGRICULTURAL METEOROLOGY,JUN,2015,r,no trait measured,,,,,,
"Wang, HJ; Ge, QS; Rutishauser, T; Dai, YX; Dai, JH",Parameterization of temperature sensitivity of spring phenology and its application in explaining diverse phenological responses to temperature change,SCIENTIFIC REPORTS,6-Mar,2015,a,,,a,,N,model - no data,
"CaraDonna, PJ; Inouye, DW",Phenological responses to climate change do not exhibit phylogenetic signal in a subalpine plant community,ECOLOGY,FEB,2015,a,,,a,,,,
"Stoeckli, S; Samietz, J",Simplified Modelling of Apple Flowering Phenology for Application in Climate Change Scenarios,IX INTERNATIONAL SYMPOSIUM ON MODELLING IN FRUIT RESEARCH AND ORCHARD MANAGEMENT,,2015,r,1 species (apple),,,,,,
"Nilsson-Ortman, V; Stoks, R; De Block, M; Johansson, F",Latitudinal patterns of phenology and age-specific thermal performance across six Coenagrion damselfly species,ECOLOGICAL MONOGRAPHS,NOV,2013,a,,,a,,N,no phenological shift,
"Coulaud, R; Mouthon, J; Queau, H; Charles, S; Chaumot, A",Life-history phenology strongly influences population vulnerability to toxicants: A case study with the mudsnail Potamopyrgus antipodarum,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,AUG,2013,r,"no phenology change measured, 1 species",,,,,,
"Woods, JO; Singh-Blom, UM; Laurent, JM; McGary, KL; Marcotte, EM","Prediction of gene-phenotype associations in humans, mice, and plants using phenologs",BMC BIOINFORMATICS,21-Jun,2013,r,no phenology change measured,,,,,,
"Anjum, NA; Ahmad, I; Valega, M; Figueira, E; Duarte, AC; Pereira, E","Phenological development stages variation versus mercury tolerance, accumulation, and allocation in salt marsh macrophytes Triglochin maritima and Scirpus maritimus prevalent in Ria de Aveiro coastal lagoon (Portugal)",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,JUN,2013,r,no phenology change measured,,,,,,
"de Groot, GA; Zuidema, PA; de Groot, H; During, HJ",VARIATION IN PLOIDY LEVEL AND PHENOLOGY CAN RESULT IN LARGE AND UNEXPECTED DIFFERENCES IN DEMOGRAPHY AND CLIMATIC SENSITIVITY BETWEEN CLOSELY RELATED FERNS,AMERICAN JOURNAL OF BOTANY,AUG,2012,a,,,a,,N,No phenological tracking,
"Salido, L; Purse, BV; Marrs, R; Chamberlain, DE; Shultz, S",Flexibility in phenology and habitat use act as buffers to long-term population declines in UK passerines,ECOGRAPHY,JUL,2012,a,,,a,,N,no phenological tracking,
"Vesely, P; Bures, P; Smarda, P; Pavlicek, T",Genome size and DNA base composition of geophytes: the mirror of phenology and ecology?,ANNALS OF BOTANY,JAN,2012,r,no phenology change measured,,,,,,
"Van Dijk, H",Evolutionary change in flowering phenology in the iteroparous herb Beta vulgaris ssp maritima: a search for the underlying mechanisms,JOURNAL OF EXPERIMENTAL BOTANY,JUL,2009,r,1 species (Beta vulgaris),,,,,,
"Ansquer, P; Khaled, RAH; Cruz, P; Theau, JP; Therond, O; Duru, M",Characterizing and predicting plant phenology in species-rich grasslands,GRASS AND FORAGE SCIENCE,MAR,2009,r,no phenology change measured,,,,,,
"Castro, AJ; Hayes, P; Viega, L; Vales, I",Transgressive segregation for phenological traits in barley explained by two major QTL alleles with additivity,PLANT BREEDING,DEC,2008,r,1 species(barley),,,,,,
"Fonts, C; Andrade, FH; Grondona, M; Hall, A; Leon, AJ",Phenological characterisation of near-isogenic sunflower families bearing two QTLs for photoperiodic response,CROP SCIENCE,JUL-AUG,2008,r,1 species (Helianthus annuus),,,,,,
"Nakagawa, H; Yamagishi, J; Miyamoto, N; Motoyama, M; Yano, M; Nemoto, K",Flowering response of rice to photoperiod and temperature: a QTL analysis using a phenological model,THEORETICAL AND APPLIED GENETICS,FEB,2005,r,1 species (Oryza sativa),,,,,,
"Post, E; Stenseth, NC","Climatic variability, plant phenology, and northern ungulates",ECOLOGY,JUN,1999,a,,,a,,Y,,
"Mugabo, M; Gilljam, D; Petteway, L; Yuan, CG; Fowler, MS; Sait, SM",Environmental degradation amplifies species' responses to temperature variation in a trophic interaction,JOURNAL OF ANIMAL ECOLOGY,,2019,r,no trait measured,,,,,,
"Mongiano, G; Titone, P; Tamborini, L; Pilu, R; Bregaglio, S",Advancing crop modelling capabilities through cultivar-specific parameters sets for the Italian rice germplasm,FIELD CROPS RESEARCH,1-Jul,2019,r,model - no data,,,,,,
